iter	Passed	Remaining
405	47623	69675
406	47729	69542
407	47837	69411
408	47941	69274
409	48044	69137
410	48161	69020
411	48299	68931
412	48418	68817
413	48534	68698
414	48658	68591
415	48788	68491
416	48915	68387
417	49045	68287
418	49161	68168
419	49279	68052
420	49411	67955
421	49536	67848
422	49660	67739
423	49798	67650
424	49905	67519
425	50045	67432
426	50165	67318
427	50268	67181
428	50383	67061
429	50494	66935
430	50654	66873
431	50766	66748
432	50872	66615
433	50979	66484
434	51118	66394
435	51232	66273
436	51364	66174
437	51487	66064
438	51599	65939
439	51708	65810
440	51829	65697
441	51947	65581
442	52059	65455
443	52164	65323
444	52279	65202
445	52410	65101
446	52527	64983
447	52610	64823
448	52727	64705
449	52850	64594
450	52967	64477
451	53073	64345
452	53179	64214
453	53288	64087
454	53395	63956
455	53514	63841
456	53650	63746
457	53743	63600
458	53853	63474
459	53976	63364
460	54094	63247
461	54197	63113
462	54317	62999
463	54449	62898
464	54561	62774
465	54670	62648
466	54781	62524
467	54909	62418
468	55043	62319
469	55130	62168
470	55223	62023
471	55330	61895
472	55450	61781
473	55564	61660
474	55688	61550
475	55794	61420
476	55903	61294
477	56007	61163
478	56111	61031
479	56233	60919
480	56344	60796
481	56449	60665
482	56560	60542
483	56675	60422
484	56780	60292
485	56873	60149
486	56973	60014
487	57091	59898
488	57181	59753
489	57312	59651
490	57428	59533
491	57545	59416
492	57659	59296
493	57776	59180
494	57884	59053
495	58005	58941
496	58120	58822
497	58238	58706
498	58355	58589
499	58464	58464
500	58591	58357
501	58721	58253
502	58830	58128
503	58931	57996
504	59038	57869
505	59168	57765
506	59272	57636
507	59390	57519
508	59485	57382
509	59595	57258
510	59709	57138
511	59822	57018
512	59936	56898
513	60049	56777
514	60170	56665
515	60274	56537
516	60395	56423
517	60497	56292
518	60616	56178
519	60717	56046
520	60837	55933
521	60965	55826
522	61073	55701
523	61184	55580
524	61280	55444
525	61413	55342
526	61519	55215
527	61634	55097
528	61740	54971
529	61850	54848
530	61961	54726
531	62075	54607
532	62172	54474
533	62273	54343
534	62382	54220
535	62507	54111
536	62601	53975
537	62715	53856
538	62855	53759
539	62962	53634
540	63065	53506
541	63182	53390
542	63308	53281
543	63415	53157
544	63522	53032
545	63629	52907
546	63731	52779
547	63854	52668
548	63982	52561
549	64082	52431
550	64177	52297
551	64289	52176
552	64398	52054
553	64509	51933
554	64631	51821
555	64741	51700
556	64848	51575
557	64958	51454
558	65056	51323
559	65174	51208
560	65302	51101
561	65428	50992
562	65530	50864
563	65637	50740
564	65765	50633
565	65858	50498
566	65968	50377
567	66095	50269
568	66212	50154
569	66299	50015
570	66399	49886
571	66514	49769
572	66630	49652
573	66756	49543
574	66909	49454
575	67023	49336
576	67147	49225
577	67262	49108
578	67376	48990
579	67501	48880
580	67608	48757
581	67752	48660
582	67847	48528
583	67969	48416
584	68091	48303
585	68222	48198
586	68328	48074
587	68433	47950
588	68535	47823
589	68650	47706
